BSC;SITENAME;BCF;TRE_NAME;FE_NUM;ODU_NAME;ODU_RX_MAX;ODU_RX_MIN;ODU_RX_CURRENT;ODU_RX_AVERAGE;ODU_CURRENT_TX_POWER;ODU_ALCQ;ODU_TX_FREQUENCY
DNEB8;DN2244;415;bsc212526_bcf415_4080;5;DN2244>DN2258;;;-42.3 dBm;;5;Off;22085000 (kHz)
DNEB8;DN2224;355;bsc212526_bcf355_4080;2;DN2224>DN2207;-36.67 dBm;-120.00 dBm;-39.2 dBm;-38.56 dBm;18;Off;22347500 (kHz)
DNEB8;DN2211;337;bsc212526_bcf337_4080;3;DN2211>DN2208;-34.29 dBm;-120.00 dBm;-42.8 dBm;-47.56 dBm;10;Off;22368500 (kHz)
DNEB8;DN2296;542;bsc212526_bcf542_4080;4;DN2296>DN2203;-29.51 dBm;-120.00 dBm;-42.4 dBm;-41.56 dBm;20;Off;14417000 (kHz)
DNEB8;DN2296;542;bsc212526_bcf542_4080;2;DN2296>DN2256;-33.45 dBm;-120.00 dBm;-43.6 dBm;-42.11 dBm;14;Off;22106000 (kHz)
DNEB8;DN2296;542;bsc212526_bcf542_4080;5;DN2296>DN9121;-33.84 dBm;-120.00 dBm;-44.5 dBm;-39.14 dBm;18;Off;23030000 (kHz)
DNEB8;DN2237;397;bsc212526_bcf397_4080;3;DN2237>DN2248;;;-46.8 dBm;;15;Off;23208500 (kHz)
DNEB8;DN2237;397;bsc212526_bcf397_4080;2;DN2237>DN2249;-40.67 dBm;-120.00 dBm;-48.3 dBm;-45.95 dBm;17;Off;23051000 (kHz)
DNEB8;DN2286;535;bsc212526_bcf535_4080;2;DN2286>DN2262;;;-40.0 dBm;;8;Off;23376500 (kHz)
DNEB8;DN2253;295;bsc212526_bcf295_4080;2;DN2253>DN2247;-35.81 dBm;-120.00 dBm;-54.0 dBm;-46.91 dBm;3;Off;22354500 (kHz)
DNEB8;DN2248;427;bsc212526_bcf427_4080;2;DN2248>DN2237;;;-40.8 dBm;;15;Off;22200500 (kHz)
DNEB8;DN2266;122;bsc212526_bcf122_4080;2;DN2266>DN2252;-39.17 dBm;-120.00 dBm;-41.4 dBm;-41.17 dBm;18;Off;23065000 (kHz)
DNEB8;DN2205;110;bsc212526_bcf110_4087;4;DN2205_DN2239;;;-41.3 dBm;;18;Off;23037000 (kHz)
DNEB8;DN2234;380;bsc212526_bcf380_4080;4;DN2234>DN2303;-35.85 dBm;-120.00 dBm;-40.1 dBm;-39.04 dBm;9;Off;22022000 (kHz)
DNEB8;DN2234;380;bsc212526_bcf380_4080;2;DN2234>DN2208;;;-47.0 dBm;;13;Off;22134000 (kHz)
DNEB8;DN2280;524;bsc212526_bcf524_4080;2;DN2280>DN9122;-38.84 dBm;-120.00 dBm;-44.5 dBm;-40.80 dBm;18;Off;22123500 (kHz)
DNEB8;DN2202;479;bsc212526_bcf479_4080;4;DN2202>DN2297;-38.20 dBm;-120.00 dBm;-40.8 dBm;-39.13 dBm;15;Off;22043000 (kHz)
DNEB8;DN2202;479;bsc212526_bcf479_4080;2;DN2202>DN2203;-37.47 dBm;-120.00 dBm;-41.2 dBm;-43.11 dBm;13;Off;22190000 (kHz)
DNEB8;DN2202;477;bsc212526_bcf477_3;4;DN2202>DN2263;-31.19 dBm;-120.00 dBm;-43.4 dBm;-41.59 dBm;20;Off;14473000 (kHz)
